character_code,n,match_rate,EI_rate,SN_rate,TF_rate,JP_rate
KALS,560,0.1357142857142857,0.6821428571428572,0.5803571428571429,0.6642857142857143,0.5482142857142858
KURM,397,0.14609571788413098,0.6574307304785895,0.5365239294710328,0.6523929471032746,0.5843828715365239
TNAO,289,0.1245674740484429,0.6643598615916955,0.45674740484429066,0.5813148788927336,0.5986159169550173
KRSU,211,0.17535545023696683,0.6872037914691943,0.5781990521327014,0.6966824644549763,0.6777251184834123
RIKI,196,0.1377551020408163,0.576530612244898,0.41836734693877553,0.7244897959183674,0.5918367346938775
NEUR,172,0.11627906976744186,0.5406976744186046,0.5581395348837209,0.6162790697674418,0.5988372093023255
KMOM,123,0.2682926829268293,0.7317073170731707,0.6016260162601627,0.7398373983739838,0.6829268292682927
KNAN,110,0.14545454545454545,0.6272727272727273,0.6272727272727273,0.5454545454545454,0.5
KGYA,99,0.16161616161616163,0.696969696969697,0.6262626262626263,0.7171717171717171,0.5757575757575758
CIRN,93,0.0967741935483871,0.6344086021505376,0.4946236559139785,0.6236559139784946,0.5268817204301075
MAIS,87,0.16091954022988506,0.7011494252873564,0.5862068965517241,0.6091954022988506,0.5402298850574713
KNTA,83,0.14457831325301204,0.6626506024096386,0.7108433734939759,0.5180722891566265,0.5662650602409639
KAOR,71,0.14084507042253522,0.7323943661971831,0.4788732394366197,0.7605633802816901,0.6056338028169014
SAKI,71,0.14084507042253522,0.4507042253521127,0.5774647887323944,0.5211267605633803,0.6197183098591549
MARN,63,0.031746031746031744,0.5396825396825397,0.4603174603174603,0.7936507936507936,0.5714285714285714
PHRV,62,0.1774193548387097,0.7580645161290323,0.8225806451612904,0.6451612903225806,0.3870967741935484
ARTO,58,0.1724137931034483,0.7413793103448276,0.4827586206896552,0.603448275862069,0.603448275862069
NENE,52,0.07692307692307693,0.8461538461538461,0.3269230769230769,0.8076923076923077,0.5576923076923077
TMRS,50,0.06,0.56,0.32,0.56,0.52
ERUC,47,0.0425531914893617,0.5319148936170213,0.5106382978723404,0.6382978723404256,0.425531914893617
YCYO,41,0.14634146341463414,0.36585365853658536,0.5609756097560976,0.7560975609756098,0.6585365853658537
MYRI,40,0.1,0.55,0.65,0.625,0.55
ELNA,40,0.275,0.8,0.625,0.6,0.625
SHOK,36,0.16666666666666666,0.6666666666666666,0.5,0.6944444444444444,0.6944444444444444
SORA,36,0.2222222222222222,0.75,0.5277777777777778,0.6666666666666666,0.6388888888888888
TAFI,34,0.08823529411764706,0.5882352941176471,0.5,0.6764705882352942,0.5882352941176471
EVIL,33,0.18181818181818182,0.6666666666666666,0.48484848484848486,0.5757575757575758,0.6363636363636364
SERN,30,0.1,0.7,0.5,0.7666666666666667,0.6
ASNA,30,0.16666666666666666,0.5333333333333333,0.5,0.7,0.5666666666666667
MEGR,27,0.1111111111111111,0.5555555555555556,0.5185185185185185,0.8518518518518519,0.37037037037037035
IQBT,25,0.32,0.76,0.44,0.76,0.88
FREN,22,0.18181818181818182,0.6363636363636364,0.6818181818181818,0.6363636363636364,0.5
RYOO,21,0.23809523809523808,0.7619047619047619,0.7142857142857143,0.47619047619047616,0.7142857142857143
YKNO,21,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.9047619047619048,0.7142857142857143
DORO,20,0.15,0.65,0.5,0.5,0.45
HARU,19,0.2631578947368421,0.6842105263157895,0.7368421052631579,0.631578947368421,0.631578947368421
VRTN,17,0.058823529411764705,0.8235294117647058,0.5882352941176471,0.5882352941176471,0.5294117647058824
MADK,17,0.23529411764705882,0.8823529411764706,0.5294117647058824,0.5882352941176471,0.5882352941176471
MAHR,17,0.29411764705882354,0.8235294117647058,0.8235294117647058,0.5294117647058824,0.5882352941176471
ATRI,16,0.3125,0.8125,0.8125,0.9375,0.4375
MRTS-X,16,0.3125,0.8125,0.625,0.5625,0.5625
AMYA,16,0.375,0.6875,0.8125,0.75,0.8125
NENE-K,14,0.07142857142857142,0.42857142857142855,0.6428571428571429,0.5,0.35714285714285715
KRKO,14,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.7857142857142857,0.5714285714285714
KANA,14,0.35714285714285715,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7857142857142857
NAGI,13,0.07692307692307693,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.5384615384615384
REMM,11,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.6363636363636364
TIGA,11,0.09090909090909091,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.45454545454545453
BAFE,11,0.18181818181818182,0.6363636363636364,0.45454545454545453,0.8181818181818182,0.6363636363636364
CHKA,11,0.2727272727272727,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.6363636363636364
DLRS,10,0.2,0.4,0.7,0.7,0.4
CHIS,9,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.8888888888888888
MEGU,9,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556
NIKA,8,0.0,0.375,0.5,0.375,0.875
SZHA,8,0.125,0.5,0.625,0.625,0.5
YUIY,8,0.125,0.625,0.5,0.5,0.25
VLTT,8,0.375,0.875,0.875,0.75,0.5
KITA,7,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.8571428571428571
SAKR,7,0.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.5714285714285714
ANON,6,0.0,0.16666666666666666,0.16666666666666666,0.5,0.5
SOYO,6,0.0,0.8333333333333334,0.16666666666666666,0.5,0.3333333333333333
YSHN,6,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.5,0.6666666666666666
RIKA,6,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666
HAIB,5,0.0,0.8,0.8,0.2,0.6
ZRTW,5,0.0,0.4,0.8,0.4,0.2
GGGG-A,5,0.6,0.8,1.0,0.6,0.6
B022,4,0.0,0.0,0.5,0.5,0.75
MIKT,4,0.0,0.5,0.5,0.5,0.0
SUBA,3,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0
TAMA,3,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
TMYO,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
AZUS,3,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
HTMK,3,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
ALYA,2,0.0,0.5,1.0,1.0,0.0
ASKA,2,0.0,0.5,0.0,0.0,0.5
KNDE,2,0.0,1.0,0.5,0.5,0.5
YUIH,2,0.0,1.0,1.0,0.0,0.5
B033,2,0.5,1.0,0.5,1.0,1.0
AYRE,2,1.0,1.0,1.0,1.0,1.0
AMNE,1,0.0,1.0,0.0,1.0,1.0
AMRS,1,0.0,1.0,1.0,1.0,0.0
BCHI,1,0.0,1.0,1.0,0.0,1.0
HOMU,1,0.0,1.0,0.0,0.0,0.0
HSMK,1,0.0,0.0,1.0,1.0,1.0
MIOA,1,0.0,1.0,1.0,0.0,1.0
MNBO,1,0.0,0.0,1.0,1.0,0.0
MRSM,1,0.0,0.0,1.0,0.0,1.0
NINO,1,0.0,0.0,0.0,0.0,0.0
QHUA,1,0.0,0.0,1.0,1.0,0.0
RINN,1,0.0,1.0,0.0,0.0,1.0
SHKP,1,0.0,1.0,1.0,0.0,0.0
UNKN,1,0.0,0.0,0.0,0.0,0.0
